query_id,ref_id,score
Q303202,R200478,-0.035060704
Q304703,R235585,-0.03509649
Q302158,R226216,-0.035148725
Q307624,R228807,-0.035734743
Q303862,R229769,-0.035761148
Q307132,R221952,-0.035828933
Q306667,R200478,-0.03583674
Q307074,R209258,-0.03598003
Q301382,R222662,-0.03607838
Q302800,R236897,-0.036163077
Q307575,R232525,-0.03630668
Q307247,R237452,-0.03663954
Q303862,R227796,-0.03668937
Q303724,R239636,-0.036805153
Q304703,R229769,-0.036826685
Q300439,R213878,-0.036854878
Q307326,R222662,-0.037133664
Q300807,R234205,-0.037159607
Q300598,R230078,-0.03722126
Q305768,R210725,-0.03729421
Q300598,R240099,-0.03732092
Q301980,R208365,-0.03736241
Q302281,R234315,-0.037389815
Q307449,R228881,-0.037467062
Q301064,R232027,-0.037518874
Q301872,R236874,-0.037566
Q305743,R221118,-0.037725016
Q307392,R226486,-0.037740648
Q305012,R232453,-0.037960947
Q307624,R210725,-0.03814274
Q307860,R228818,-0.038239583
Q305948,R237416,-0.03838028
Q300439,R239587,-0.038454197
Q306390,R235993,-0.038482502
Q305733,R226198,-0.03851202
Q301522,R221075,-0.038523823
Q305743,R229839,-0.038586095
Q302158,R239531,-0.03877984
Q302275,R213867,-0.03900747
Q304367,R214298,-0.039100938
Q305733,R239866,-0.03913875
Q305012,R237683,-0.039140776
Q304703,R237462,-0.039349854
Q307218,R239803,-0.039378583
Q303724,R210208,-0.039384797
Q303862,R239933,-0.03954172
Q300807,R226463,-0.0395571
Q307132,R229839,-0.03961794
Q303862,R234235,-0.039704427
Q307392,R237725,-0.039795056
Q301754,R229708,-0.039892465
Q302932,R239933,-0.03993325
Q301522,R232453,-0.03997034
Q301754,R237558,-0.04004547
Q302158,R235585,-0.040049747
Q302932,R208365,-0.040169626
Q306667,R236965,-0.04019244
Q301980,R214649,-0.040210783
Q304363,R235958,-0.04033792
Q306390,R221072,-0.040400296
Q301749,R239834,-0.040408164
Q305948,R240099,-0.040434137
Q305948,R239695,-0.04047203
Q302932,R235958,-0.040658347
Q304363,R203693,-0.040717274
Q301872,R239803,-0.04084198
Q301522,R213873,-0.040996045
Q304703,R222767,-0.041157573
Q300439,R232983,-0.041210085
Q307326,R213730,-0.041239336
Q306667,R232428,-0.041486517
Q307132,R223862,-0.041498095
Q307326,R240079,-0.04158184
Q305012,R226298,-0.041719705
Q305948,R229924,-0.041726768
Q305948,R228807,-0.041883186
Q305743,R236897,-0.041914538
Q305743,R208392,-0.04202044
Q300439,R232428,-0.042051658
Q301749,R210432,-0.0420722
Q305948,R205779,-0.04222758
Q302932,R232617,-0.042462274
Q307449,R237914,-0.04261732
Q305743,R219371,-0.042674482
Q307132,R219371,-0.04282351
Q307392,R217794,-0.043036237
Q307403,R237914,-0.043045238
Q307598,R234205,-0.043061882
Q303607,R221041,-0.04323651
Q307074,R236965,-0.043414667
Q300439,R232453,-0.043664187
Q307624,R229924,-0.04378675
Q305768,R232983,-0.04380627
Q304703,R203693,-0.043848768
Q302281,R211137,-0.043852165
Q306255,R232428,-0.043933883
Q302158,R233850,-0.044010416
Q307074,R232480,-0.044045895
Q301064,R221118,-0.04427275
Q302281,R228807,-0.04428757
Q307815,R205779,-0.04429336
Q300598,R216761,-0.044422343
Q304840,R237725,-0.044451535
Q302275,R229769,-0.044452816
Q307074,R213967,-0.04446292
Q301064,R219371,-0.044546768
Q304840,R214649,-0.044715002
Q303724,R210368,-0.04477206
Q307403,R229839,-0.04478407
Q305948,R205913,-0.04489705
Q305012,R234205,-0.044901177
Q305768,R237522,-0.044904396
Q307624,R237522,-0.044919446
Q300973,R239699,-0.04498917
Q307815,R213873,-0.04514891
Q302275,R201627,-0.045219295
Q300807,R208392,-0.045348495
Q307598,R233141,-0.045462046
Q304367,R239959,-0.045602977
Q305948,R201410,-0.04561296
Q300807,R229769,-0.045684606
Q307247,R228802,-0.0457208
Q306667,R236874,-0.045724362
Q307132,R208365,-0.04593195
Q307074,R220704,-0.046124414
Q307815,R228807,-0.046181314
Q305012,R233914,-0.046243995
Q307449,R205913,-0.046300903
Q304367,R213942,-0.046339504
Q307860,R233914,-0.04633966
Q305153,R231984,-0.046496622
Q302932,R234315,-0.046541557
Q307598,R211708,-0.046770185
Q302800,R233914,-0.04695049
Q307815,R205913,-0.046956003
Q305948,R227730,-0.046971887
Q307815,R236965,-0.046976835
Q307403,R223862,-0.047037333
Q302275,R233914,-0.047143802
Q304367,R237914,-0.04724686
Q301064,R233914,-0.047384873
Q302800,R237558,-0.047556728
Q302275,R222662,-0.047588676
Q304367,R200478,-0.04763934
Q303202,R213873,-0.047868714
Q307815,R237558,-0.047910348
Q303724,R202117,-0.04807376
Q307247,R208392,-0.04809747
Q307074,R222662,-0.048113674
Q307218,R215945,-0.048334315
Q305743,R239636,-0.048390582
Q305948,R239531,-0.048403487
Q305743,R233850,-0.048481718
Q304703,R239636,-0.048511073
Q300807,R236303,-0.048664704
Q306255,R239699,-0.04867518
Q302281,R239866,-0.048720792
Q303724,R226486,-0.048811942
Q301980,R217690,-0.04886709
Q307624,R239866,-0.048919372
Q301522,R222767,-0.048952892
Q307403,R213942,-0.04898064
Q302158,R226486,-0.049006745
Q301754,R215948,-0.04903698
Q302158,R234318,-0.04904733
Q307403,R217715,-0.04906091
Q303724,R204658,-0.049133226
Q302932,R215945,-0.049206257
Q305733,R205913,-0.049218103
Q307074,R234315,-0.049224183
Q306390,R213873,-0.049328476
Q307247,R232562,-0.049422875
Q302275,R232562,-0.049438447
Q302275,R222767,-0.049441487
Q305733,R232983,-0.049494267
Q302800,R239801,-0.04966536
Q300439,R217794,-0.049665853
Q305012,R239636,-0.04972829
Q307132,R237452,-0.049745455
Q307218,R212425,-0.04978618
Q306667,R214739,-0.04982786
Q307624,R201627,-0.049840413
Q306390,R236874,-0.049888372
Q303724,R227796,-0.049904406
Q302158,R202117,-0.049963742
Q304367,R239513,-0.049993142
Q304363,R226287,-0.05000435
Q300598,R232617,-0.050111257
Q301980,R214298,-0.05013822
Q304703,R210313,-0.050200656
Q304840,R212433,-0.050280094
Q305768,R213873,-0.05031766
Q307598,R232562,-0.05032003
Q301382,R204658,-0.05039026
Q304367,R232617,-0.050481364
Q307218,R233914,-0.05050593
Q307132,R229826,-0.05067663
Q302275,R237642,-0.050730675
Q300807,R221118,-0.050829127
Q302275,R239636,-0.050922662
Q305733,R228803,-0.050950006
Q304367,R228818,-0.050978348
Q301382,R201627,-0.050995678
Q301522,R206377,-0.051234365
Q307598,R218137,-0.051251873
Q303862,R235958,-0.051297754
Q302800,R229924,-0.051502362
Q300807,R232525,-0.05155465
Q303607,R213967,-0.05161962
Q307132,R217794,-0.051626258
Q302281,R222662,-0.051712796
Q304703,R232428,-0.05171323
Q304703,R213873,-0.051820636
Q301980,R211708,-0.051955014
Q300973,R217794,-0.052004054
Q302275,R237452,-0.0520501
Q303724,R211747,-0.05207207
Q305012,R226486,-0.052075744
Q301980,R218081,-0.05213146
Q303202,R221075,-0.052182555
Q300439,R222767,-0.052251697
Q306390,R206377,-0.05226396
Q300973,R228818,-0.052292578
Q302932,R219371,-0.05230476
Q305768,R222662,-0.052388117
Q301064,R239959,-0.052422523
Q305768,R237725,-0.05254528
Q305743,R209256,-0.052622765
Q305733,R228879,-0.052713305
Q304703,R225188,-0.052713677
Q307860,R237683,-0.052722648
Q301522,R236303,-0.052735537
Q302800,R237725,-0.052759536
Q302800,R214126,-0.052763537
Q303862,R211137,-0.05284728
Q305733,R213867,-0.052951142
Q303607,R209258,-0.052964054
Q300807,R235958,-0.05296755
Q305733,R236965,-0.052999318
Q305012,R216761,-0.053000897
Q307598,R204581,-0.053052507
Q303607,R218081,-0.053065687
Q305733,R226463,-0.05310993
Q302275,R213766,-0.05312197
Q300973,R237914,-0.053258233
Q306667,R239803,-0.053305477
Q307815,R220704,-0.053310327
Q304703,R210253,-0.053327926
Q302158,R240079,-0.05334072
Q307860,R234318,-0.053390816
Q305153,R237683,-0.053424247
Q307132,R231984,-0.05352637
Q302932,R228818,-0.053567804
Q300439,R237452,-0.05368021
Q300439,R221528,-0.053742126
Q307449,R219371,-0.05387176
Q301754,R210253,-0.053960457
Q307392,R200478,-0.05408533
Q306667,R239513,-0.054264635
Q302932,R236017,-0.05427955
Q300807,R239834,-0.05432293
Q305768,R237803,-0.054417938
Q307860,R231984,-0.054454207
Q302275,R232525,-0.05446832
Q301872,R234318,-0.05450608
Q300807,R229924,-0.054565325
Q305743,R237914,-0.054571286
Q307815,R237826,-0.05461292
Q303202,R228807,-0.054639257
Q304703,R229839,-0.05465059
Q307218,R229769,-0.054748595
Q301749,R232453,-0.05475396
Q303202,R237462,-0.054793105
Q303202,R237683,-0.054793753
Q305743,R232617,-0.054871894
Q307815,R221528,-0.054873258
Q307326,R217738,-0.05492781
Q306390,R234294,-0.054933764
Q307074,R226463,-0.05500652
Q301064,R204658,-0.055035785
Q305733,R234271,-0.05506201
Q301754,R235585,-0.055101216
Q300973,R204581,-0.0551046
Q303724,R234205,-0.055117548
Q307860,R232617,-0.05513367
Q300439,R239959,-0.05520104
Q307326,R234271,-0.055203006
Q305743,R239834,-0.055268183
Q301064,R229839,-0.055305064
Q306390,R239646,-0.055327892
Q307815,R223193,-0.055354595
Q307132,R234205,-0.05539138
Q303202,R232562,-0.05542107
Q300973,R236897,-0.055423193
Q302158,R233914,-0.05544144
Q302158,R222767,-0.055446364
Q307218,R221400,-0.055450708
Q307326,R239699,-0.055466406
Q303862,R232562,-0.05549927
Q301980,R232525,-0.055564612
Q302932,R221019,-0.055692546
Q302275,R237914,-0.055697575
Q303724,R239646,-0.055706
Q303607,R210313,-0.055752948
Q307247,R232525,-0.055765063
Q307815,R210313,-0.055767678
Q301754,R209256,-0.05580783
Q301382,R221075,-0.05592394
Q305733,R213873,-0.055955872
Q304840,R221019,-0.05596733
Q302800,R237683,-0.05608979
Q305948,R200478,-0.05613873
Q307449,R218137,-0.056172937
Q307449,R232525,-0.05619727
Q307403,R225744,-0.056213304
Q302625,R233914,-0.056249917
Q305948,R217690,-0.05625467
Q307449,R235958,-0.05631672
